"ID","ShortName","NAME","IDGRUPO","POS","RANK","CLASS"
6128,"SAC","ACM Symposium on Applied Computing",13,63,0.89147,"A"
6374,"IFAC","Triennial Event of International Federation of Automatic Control",23,64,0.88889,"A"
5962,"SECPRIV","IEEE Symposium on Security and Privacy",25,65,0.88889,"A"
6454,"NAACL","North American Chapter of the Association for Computational Linguistics Annual Meeting",30,66,0.88889,"A"
5996,"HPCA","International Symposium on High-Performance Computer Architecture",26,67,0.88889,"A"
5901,"ICDCS","IEEE International Conference on Distributed Computing Systems",15,68,0.88542,"A"
6241,"IJCNN","IEEE International Joint Conference on Neural Networks",22,69,0.88542,"A"
5771,"ICFP","International Conference on Functional Programming",12,70,0.88095,"A"
5931,"MSWIM","ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",28,71,0.88095,"A"
6161,"Hypertext","ACM Conference on Hypertext and Hypermedia",18,72,0.88000,"A"
5694,"EMNLP","Conference on Empirical Methods in Natural Language Processing",30,73,0.87879,"A"
6059,"RTAS","IEEE Real-Time and Embedded Technology and Applications Symposium",27,74,0.87879,"A"
6001,"FPGA","ACM/SIGDA International Symposium on Field-Programmable Gate Arrays ",6,75,0.87719,"A"
6440,"ETAPS","European Joint Conferences on Theory and Practice of Software",12,76,0.87500,"A"
6220,"ISMAR","International Symposium on Mixed and Augmented Reality",19,77,0.87500,"A"
5493,"VRCIA","ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry",19,78,0.87500,"A"
6063,"SRDS","IEEE International Symposium on Reliable Distributed Systems",27,79,0.86957,"A"
5906,"IM","IFIP/IEEE Symposium on Integrated Management ",15,80,0.86905,"A"
6399,"MT Summit","Machine Translation Summit",30,81,0.86667,"A"
6145,"UIST","ACM Symposium on User Interface Software and Technology",11,82,0.86364,"A"
6164,"ICMCS","IEEE International Conference on Multimedia Computing and Systems",18,83,0.86364,"A"
6062,"RTSS","Real Time Systems Symposium",27,84,0.86364,"A"
5396,"PODS","ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems",2,85,0.86325,"A"
5617,"GIScience","International Conference on Geographic Information Science",8,86,0.86275,"A"
5609,"CAiSE","International Conference on Advanced Information Systems Engineering",21,87,0.86111,"A"
5841,"NOMS","IEEE/IFIP Network Operations and Management Symposium",15,88,0.86111,"A"
6358,"SMI","IEEE International Conference on Shape Modeling and Applications",5,89,0.85965,"A"
6217,"3DUI","IEEE Symposium on 3D User Interfaces",19,90,0.85714,"A"
5782,"PLDI","ACM-SIGPLAN Symposium on Programming Language Design and Implementation",12,91,0.85714,"A"
6453,"EACL","Conference of the European Chapter of the Association for Computational Linguistics",30,92,0.85714,"A"
5733,"ICRA","IEEE International Conference on Robotics and Automation",23,93,0.85714,"A"
5385,"ER","International Conference on Conceptual Modeling",2,94,0.85586,"A"
5392,"JCDL","ACM IEEE Joint Conference on Digital Libraries",2,95,0.85586,"A"
5389,"ICDM","IEEE International Conference on Data Mining",2,96,0.85417,"A"
5645,"ECAI","European Conference on Artificial Intelligence",10,97,0.85417,"A"
6492,"PERFORMANCE","IFIP WG 7.3 International Symposium on Computer Performance, Modeling, Measurements, and Evaluation",16,98,0.85417,"A"
5471,"InfoVis","IEEE Symposium on Information Visualization ",5,99,0.85333,"A"
6316,"I3D","ACM Symposium on Interactive 3D Graphics and Games",5,100,0.85333,"A"
5820,"IPCO","Conference on Integer Programming and Combinatorial Optimization",14,101,0.85185,"A"
6166,"ICWS","IEEE International Conference on Web Services",18,102,0.85185,"A"
6165,"ICME","IEEE International Conference on Multimedia and Expo",18,103,0.85000,"A"
6345,"IWCS","International Workshop on Computational Semantics",30,104,0.84848,"A"
5725,"NIPS","Neural Information Processing Systems",22,105,0.84314,"A"
5765,"ECOOP","European Conference on Object-oriented Programming",12,106,0.84314,"A"
6005,"SUPER","ACM/IEEE Supercomputing Conference",26,107,0.84211,"A"
5479,"SoCG","Annual ACM Symposium on Computational Geometry",5,108,0.84127,"A"
5453,"CGI","Computer Graphics International Conference",5,109,0.83951,"A"
5866,"PODC","ACM Symposium on Principles of Distributed Computing",15,110,0.83951,"A"
5549,"FSE","ACM SIGSOFT Conference on the Foundations of Software Engineering",7,111,0.83761,"A"
5679,"AAMAS","International Joint Conference on Autonomous Agents and Multiagents Systems",10,112,0.83704,"A"
5515,"VTS","IEEE VLSI Test Symposium",6,113,0.83333,"A"
6185,"WI","IEEE/WIC/ACM International Conference on Web Intelligence",18,114,0.83333,"A"
5923,"PerCom","Annual IEEE International Conference on Pervasive Computing and Communications ",28,115,0.83333,"A"
6202,"CIVR","ACM International Conference on Image and Video Retrieval",5,116,0.83333,"A"
5961,"SEC","IFIP International Information Security Conference",25,117,0.83333,"A"
6247,"FUZZ","IEEE International Conference on Fuzzy Systems",22,118,0.82716,"A"
5703,"WoLLIC","Workshop on Logic, Language, Information and Computation",29,119,0.82540,"A"
5516,"EMSOFT","ACM Conference on Embedded Software ",27,120,0.82540,"A"
5522,"VLSI-SOC","IFIP International Conference on Very Large Scale Integration ",6,121,0.82456,"A"
5708,"ECML","European Conference on Machine Learning",22,122,0.82292,"A"
6233,"VECIMS","IEEE International Conference on Virtual Environments, Human-Computer Interfaces and Measurement Systems",19,123,0.82222,"A"
5925,"Mobisys","ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",28,124,0.82222,"A"
5728,"GECCO","Genetic and Evolutionary Computation Conference",22,125,0.82143,"A"
5859,"WCNC","IEEE Wireless and Communications and Networking Conference",15,126,0.82051,"A"
5760,"CC","International Conference on Compiler Construction",12,127,0.82051,"A"
5650,"CICLING","Conference on Intelligent Text Processing and Computational Linguistics",30,128,0.82051,"A"
5696,"ICLP","International Conference on Logic Programming",29,129,0.82051,"A"
5373,"CIKM","International Conference on Information and Knowledge Management",2,130,0.81944,"A"
6376,"INLG","International Natural Language Generation Conference",30,131,0.81818,"A"
6041,"OSDI","Usenix Symposium on Operating Systems Design and Implementation",26,132,0.81481,"A"
5727,"WCCI","IEEE World Congress on Computational Intelligence",22,133,0.81373,"A"
5791,"ESOP","European Symposium on Programming (ETAPS)",12,134,0.81250,"A"
5907,"IMC","ACM/SIGCOMM Internet Measurement Conference ",15,135,0.81111,"A"
5554,"ICSM","IEEE International Conference on Software Maintenance",7,136,0.81081,"A"
5399,"SIGIR","Annual International ACM SIGIR Conference on Research & Development in Information Retrieval",2,137,0.81061,"A"
5365,"CSL","Annual Conference on Computer Science Logic",29,138,0.80952,"A"
5974,"CDC","IEEE Conference on Decision and Control",23,139,0.80952,"A"
5325,"COLT","Annual Conference on Computational Learning Theory",22,140,0.80769,"A"
6414,"SIGDOC","ACM International Conference on Design of Communication",18,141,0.80702,"A"
6000,"FPL","International Conference on Field-Programmable Logic and Applications ",6,142,0.80702,"A"
6042,"PADS","ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation",16,143,0.80556,"A"
5512,"ISSCC","IEEE International Solid-State Circuits Conference",6,144,0.80556,"A"
6381,"USENIX","USENIX Annual Technical Conference",26,145,0.80556,"A"
5623,"SSTD","International Symposium on Spatial and Temporal Databases",8,146,0.80392,"A"
5914,"HPDC","IEEE International Symposium on High Performance Distributed Computing",15,147,0.80247,"A"
6251,"CICC","IEEE Custom Integrated Circuits Conference",6,148,0.80000,"A"
5329,"ESA","European Symposium on Algorithms",1,149,0.79798,"A"
5467,"ICDAR","IEEE International Conference on Document Analysis and Recognition ",5,150,0.79762,"A"
5759,"ASPLOS","International Conference on Architectural Support for Programming Languages and Operating Systems",26,151,0.79762,"A"
5438,"SMC","IEEE International Conference on Systems, Man, and Cybernetics",4,152,0.79710,"A"
5833,"Networking","IFIP International Conference on Networking",15,153,0.79570,"A"
5619,"IGARSS","IEEE International Geoscience and Remote Sensing Symposium",8,154,0.79487,"A"
5972,"CCA","IEEE International Conference on Control Applications",23,155,0.79487,"A"
5720,"IFSA","International Fuzzy Systems Association World Congress",22,156,0.79365,"A"
5459,"ECCV","European Conference on Computer Vision",5,157,0.79310,"A"
5989,"PACT","International Conference on Parallel Architectures and Compilation Techniques",26,158,0.78947,"A"
6384,"TLCA","Typed Lambda Calculus and Applications",29,159,0.78788,"A"
6057,"ISORC","IEEE International Symposium on Object-Oriented Real-Time Distributed Computing",27,160,0.78788,"A"
5853,"LCN","IEEE Conference on Local Computer Networks",15,161,0.78667,"A"
5496,"CIG","IEEE Symposium on Computacional Intelligence and Games",19,162,0.78571,"A"
5521,"ITC","International Test Conference",6,163,0.78571,"A"
5374,"CoopIS","International Conference on Cooperative Information Systems",21,164,0.78571,"A"
5705,"CEC","IEEE Congress on Evolutionary Computation",22,165,0.78495,"A"
5517,"ETS","IEEE European Test Symposium ",6,166,0.78431,"A"
6194,"ISVLSI","IEEE Computer Society Annual Symposium on VLSI",6,167,0.78431,"A"
5648,"IAT","ACM International Conference on Intelligent Agent Technology",10,168,0.78431,"A"
5362,"LFCS","Symposium on Logical Foundations of Computer Science",29,169,0.78431,"A"
5635,"WCCE","IFIP World Conference on Computers in Education",9,170,0.78261,"A"
5468,"ICIAP","International Conference on Image Analysis and Processing",5,171,0.78205,"A"
5843,"ISCC","IEEE Symposium on Computers and Communications",15,172,0.77778,"A"
5559,"ISRE","IEEE International Symposium on Requirements Engineering",7,173,0.77778,"A"
6141,"INTERACT","IFIP TC13 International Conference on Human-Computer Interaction",11,174,0.77778,"A"
6467,"SACMAT","ACM Symposium on Access Control Models and Technologies",25,175,0.77778,"A"
6201,"EuroVis","Eurographics/IEEE-VGTC Symposium on Visualization",5,176,0.77778,"A"
6219,"ISWC","IEEE International Symposium on Wearable Computing",19,177,0.77778,"A"
5668,"IJCAR","International Joint Conference on Automated Reasoning ",29,178,0.77778,"A"
