"1088-9868","QUÍMICA                                           ","Bioremediation Journal","C ",2008
"0960-8524","QUÍMICA                                           ","Bioresource Technology","A1",2008
"1930-2126","QUÍMICA                                           ","Bioresources (Raleigh, N.C)","C ",2008
"1516-3725","QUÍMICA                                           ","Bioscience Journal (UFU. Impresso)","C ",2008
"0916-8451","QUÍMICA                                           ","Bioscience, Biotechnology, and Biochemistry","B3",2008
"0956-5663","QUÍMICA                                           ","Biosensors & Bioelectronics","A1",2008
"0885-4513","QUÍMICA                                           ","Biotechnology and Applied Biochemistry","B3",2008
"0006-3592","QUÍMICA                                           ","Biotechnology and Bioengineering (Print)","A2",2008
"0141-5492","QUÍMICA                                           ","Biotechnology Letters","B2",2008
"8756-7938","QUÍMICA                                           ","Biotechnology Progress (Print)","B1",2008
"1414-4522","QUÍMICA                                           ","Biotecnologia Ciência & Desenvolvimento (Impresso)","C ",2008
"0103-1643","QUÍMICA                                           ","Biotemas (UFSC)","C ",2008
"0006-3606","QUÍMICA                                           ","Biotropica (Lawrence, KS)","B1",2008
"0006-4971","QUÍMICA                                           ","Blood (Philadelphia, PA)","A1",2008
"1471-2237","QUÍMICA                                           ","BMC Biochemistry and Structural Biology (Foi desdobrado em dois: ISSN 1471-2091 BMC Biochemistry (Online) e ISSN 1472-6807 BMC Structural Biology (Online))","B1",2008
"1471-2105","QUÍMICA                                           ","BMC Bioinformatics","A2",2008
"1472-6807","QUÍMICA                                           ","BMC Structural Biology (Online)","C ",2008
"0269-3879","QUÍMICA                                           ","BMC. Biomedical Chromatography","B2",2008
"0102-0323","QUÍMICA                                           ","Boletim do Centro de Pesquisa e Processamento de Alimentos (Impresso)","C ",2008
"1414-8374","QUÍMICA                                           ","Boletim SBMAC (Rio de Janeiro)","C ",2008
"0006-6117","QUÍMICA                                           ","Boletim Técnico da Petrobrás (Impresso) (Cessou em 1998)","C ",2008
"1676-6385","QUÍMICA                                           ","Boletim Técnico da Petrobras (Online)","C ",2008
"0366-1644","QUÍMICA                                           ","Boletín de la Sociedad Chilena de Química (Impresa) (Cessou em 2002. Cont. ISSN 0717-9324 Journal of the Chilean Chemical Society (Print))","C ",2008
"0366-3175","QUÍMICA                                           ","Boletín de la Sociedad Española de Cerámica y Vidrio","B4",2008
"0717-7917","QUÍMICA                                           ","Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas","C ",2008
"0006-8055","QUÍMICA                                           ","Botanica Marina (Print)","B4",2008
"1516-8913","QUÍMICA                                           ","Brazilian Archives of Biology and Technology (Impresso)","B5",2008
"0104-6632","QUÍMICA                                           ","Brazilian Journal of Chemical Engineering (Impresso)","B4",2008
"1516-7275","QUÍMICA                                           ","Brazilian journal of food technology (Impresso)","C ",2008
"1517-7645","QUÍMICA                                           ","Brazilian Journal of Food Technology. Preprint Serie","C ",2008
"0100-879X","QUÍMICA                                           ","Brazilian Journal of Medical and Biological Research (Impresso)","B3",2008
"1517-8382","QUÍMICA                                           ","Brazilian Journal of Microbiology (Impresso)","B4",2008
"1679-8759","QUÍMICA                                           ","Brazilian Journal of Oceanography (Impresso)","B4",2008
"1677-3217","QUÍMICA                                           ","Brazilian Journal of Oral Sciences (Impresso)","C ",2008
"1982-0593","QUÍMICA                                           ","Brazilian Journal of Petroleum and Gas","C ",2008
"0103-9733","QUÍMICA                                           ","Brazilian Journal of Physics (Impresso)","B4",2008
"1677-0420","QUÍMICA                                           ","Brazilian Journal of Plant Physiology (Impresso)","C ",2008
"1413-9596","QUÍMICA                                           ","Brazilian Journal of Veterinary Research and Animal Science (Impresso)","C ",2008
"1806-8324","QUÍMICA                                           ","Brazilian Oral Research (Impresso)","C ",2008
"0007-0920","QUÍMICA                                           ","British Journal of Cancer","A1",2008
"0007-0963","QUÍMICA                                           ","British Journal of Dermatology (1951. Print)","A2",2008
"0007-1161","QUÍMICA                                           ","British Journal of Ophthalmology","B1",2008
"0007-1188","QUÍMICA                                           ","British Journal of Pharmacology","A1",2008
"0250-8052","QUÍMICA                                           ","Bulletin OEPP (Print)","C ",2008
"0256-1654","QUÍMICA                                           ","Bulletin of Electrochemistry","B5",2008
"0007-4861","QUÍMICA                                           ","Bulletin of Environmental Contamination and Toxicology","B4",2008
"0009-2673","QUÍMICA                                           ","Bulletin of the Chemical Society of Japan","B2",2008
"0253-2964","QUÍMICA                                           ","Bulletin of the Korean Chemical Society (Print)","B3",2008
"0102-3543","QUÍMICA                                           ","C&T. Revista Militar de Ciência e Tecnologia","C ",2008
"1677-2334","QUÍMICA                                           ","Caderno Brasileiro de Ensino de Física","C ",2008
"0103-2666","QUÍMICA                                           ","Caderno de Cultura do Estudante (UFS)","C ",2008
"0102-6593","QUÍMICA                                           ","Caderno de Farmácia","C ",2008
"0102-311X","QUÍMICA                                           ","Cadernos de Saúde Pública (ENSP. Impresso)","C ",2008
"1679-3951","QUÍMICA                                           ","Cadernos EBAPE.BR (FGV)","C ",2008
"1414-462X","QUÍMICA                                           ","Cadernos Saúde Coletiva (UFRJ)","C ",2008
"1809-4694","QUÍMICA                                           ","Cadernos Temáticos (Impresso)","C ",2008
"1678-1724","QUÍMICA                                           ","Cafeicultura","C ",2008
"1678-6343","QUÍMICA                                           ","Caminhos de Geografia (UFU)","C ",2008
"1205-6685","QUÍMICA                                           ","Canadian Journal of Analytical Sciences and Spectroscopy","B4",2008
"0008-3984","QUÍMICA                                           ","Canadian Journal of Animal Science","B4",2008
"0008-4042","QUÍMICA                                           ","Canadian Journal of Chemistry (Print)","B3",2008
"0008-4166","QUÍMICA                                           ","Canadian Journal of Microbiology (Print)","B3",2008
"0304-3835","QUÍMICA                                           ","Cancer Letters (Print)","A2",2008
"1807-376X","QUÍMICA                                           ","Canindé (MAX/UFS. Impresso)","C ",2008
"0144-8617","QUÍMICA                                           ","Carbohydrate Polymers","B1",2008
"0008-6215","QUÍMICA                                           ","Carbohydrate Research (Chicago, Ill.. Print)","B1",2008
"0008-6223","QUÍMICA                                           ","Carbon (New York)","A1",2008
"0143-3334","QUÍMICA                                           ","Carcinogenesis (New York. Print)","A1",2008
"1566-7367","QUÍMICA                                           ","Catalysis Communications (Print)","B1",2008
"1011-372X","QUÍMICA                                           ","Catalysis Letters","B2",2008
"0920-5861","QUÍMICA                                           ","Catalysis Today (Print)","A2",2008
"1085-9195","QUÍMICA                                           ","Cell Biochemistry and Biophysics","B1",2008
"0263-6484","QUÍMICA                                           ","Cell Biochemistry and Function","B2",2008
"0742-2091","QUÍMICA                                           ","Cell Biology and Toxicology","B1",2008
"1065-6995","QUÍMICA                                           ","Cell Biology International (Print)","B2",2008
"0145-5680","QUÍMICA                                           ","Cellular and Molecular Biology (Print) (Cessou em 2004)","B3",2008
"1420-682X","QUÍMICA                                           ","Cellular and Molecular Life Sciences (Printed ed.)","A1",2008
"0969-0239","QUÍMICA                                           ","Cellulose (London)","B2",2008
"0576-9787","QUÍMICA                                           ","Cellulose Chemistry and Technology","B5",2008
"1644-3624","QUÍMICA                                           ","Central European Journal of Chemistry","B5",2008
"0196-6219","QUÍMICA                                           ","Ceramic Engineering and Science Proceedings","C ",2008
"0366-6913","QUÍMICA                                           ","Cerâmica (São Paulo. Impresso)","C ",2008
"0272-8842","QUÍMICA                                           ","Ceramics International","B3",2008
"0104-7760","QUÍMICA                                           ","CERNE (UFLA)","C ",2008
"0960-0779","QUÍMICA                                           ","Chaos, Solitons and Fractals","A2",2008
"0009-2347","QUÍMICA                                           ","Chemical & Engineering News (Print)","B5",2008
"0009-2363","QUÍMICA                                           ","Chemical and Pharmaceutical Bulletin","B2",2008
"1747-0277","QUÍMICA                                           ","Chemical Biology & Drug Design (Print)","B1",2008
"1359-7345","QUÍMICA                                           ","Chemical Communications (London. 1996. Print)","A1",2008
"0930-7516","QUÍMICA                                           ","Chemical Engineering & Technology","B3",2008
"0255-2701","QUÍMICA                                           ","Chemical Engineering and Processing","B2",2008
"1385-8947","QUÍMICA                                           ","Chemical Engineering Journal (1996)","B1",2008
"0009-2509","QUÍMICA                                           ","Chemical Engineering Science","B2",2008
"0009-2541","QUÍMICA                                           ","Chemical Geology","A2",2008
"0301-0104","QUÍMICA                                           ","Chemical Physics (Print)","B1",2008
"0009-2614","QUÍMICA                                           ","Chemical Physics Letters (Print)","B1",2008
"0893-228X","QUÍMICA                                           ","Chemical Research in Toxicology","A2",2008
"0009-2665","QUÍMICA                                           ","Chemical Reviews","A1",2008
"0306-0012","QUÍMICA                                           ","Chemical Society Reviews (Print)","A1",2008
"0954-2299","QUÍMICA                                           ","Chemical Speciation and Bioavailability","B4",2008
"0009-2797","QUÍMICA                                           ","Chemico-Biological Interactions (Print)","A2",2008
"1612-1872","QUÍMICA                                           ","Chemistry & Biodiversity (Print)","B2",2008
"1521-3765","QUÍMICA                                           ","Chemistry (Weinheim. Internet)","C ",2008
"0947-6539","QUÍMICA                                           ","Chemistry (Weinheim. Print)","A1",2008
"0009-3084","QUÍMICA                                           ","Chemistry and Physics of Lipids (Print)","B1",2008
"0193-6484","QUÍMICA                                           ","Chemistry International (Print)","C ",2008
"0366-7022","QUÍMICA                                           ","Chemistry Letters","B2",2008
"0897-4756","QUÍMICA                                           ","Chemistry of Materials","A1",2008
"0009-3130","QUÍMICA                                           ","Chemistry of Natural Compounds","B4",2008
"0169-7439","QUÍMICA                                           ","Chemometrics and Intelligent Laboratory Systems (Print)","B1",2008
"0045-6535","QUÍMICA                                           ","Chemosphere (Oxford)","A2",2008
"1439-4235","QUÍMICA                                           ","ChemPhysChem (Print)","A2",2008
"1864-5631","QUÍMICA                                           ","ChemSusChem (Weinheim. Print)","B1",2008
"1471-6577","QUÍMICA                                           ","Chester: Advanstar House","B5",2008
"0256-7040","QUÍMICA                                           ","Child's Nervous System (Print)","B3",2008
"0256-307X","QUÍMICA                                           ","Chinese Physics Letters","B4",2008
"0899-0042","QUÍMICA                                           ","Chirality (New York, N.Y. Print)","B1",2008
"0009-5893","QUÍMICA                                           ","Chromatographia (Wiesbaden)","B3",2008
"0103-944X","QUÍMICA                                           ","Ciência & Engenharia (UFU. Impresso)","C ",2008
"1678-4561","QUÍMICA                                           ","Ciência & Saúde Coletiva (Online)","C ",2008
"0103-8699","QUÍMICA                                           ","Ciencia Agricola (UFAL)","C ",2008
"0104-3617","QUÍMICA                                           ","Ciencia Agronomica (UNESP.Jaboticabal)","C ",2008
"1518-2797","QUÍMICA                                           ","Ciência Animal Brasileira (UFG. Impresso)","C ",2008
"1413-7054","QUÍMICA                                           ","Ciência e Agrotecnologia (UFLA)","C ",2008
"1516-7313","QUÍMICA                                           ","Ciência e Educação (UNESP. Impresso)","C ",2008
"0101-2061","QUÍMICA                                           ","Ciência e Tecnologia de Alimentos (Impresso)","C ",2008
"0103-9954","QUÍMICA                                           ","Ciência Florestal (UFSM. Impresso)","B5",2008
"0101-8515","QUÍMICA                                           ","Ciência Hoje","C ",2008
"0103-2054","QUÍMICA                                           ","Ciencia Hoje das Crianças","C ",2008
"0103-8478","QUÍMICA                                           ","Ciência Rural (UFSM. Impresso)","C ",2008
"1135-8122","QUÍMICA                                           ","Ciencia y Tecnología Alimentaria","B4",2008
"0100-1515","QUÍMICA                                           ","Ciência, Técnica, Petróleo. Seção Exploração de Petróleo","C ",2008
"1676-3629","QUÍMICA                                           ","Ciência, Técnica, Petróleo. Seção química","C ",2008
