"1360-8185","CIÊNCIAS BIOLÓGICAS I                             ","Apoptosis (London)","A2",2008
"0099-2240","CIÊNCIAS BIOLÓGICAS I                             ","Applied and Environmental Microbiology (Print)","A2",2008
"0168-1591","CIÊNCIAS BIOLÓGICAS I                             ","Applied Animal Behaviour Science (Print)","A2",2008
"0273-2289","CIÊNCIAS BIOLÓGICAS I                             ","Applied Biochemistry and Biotechnology","B2",2008
"1808-5512","CIÊNCIAS BIOLÓGICAS I                             ","Applied Cancer Research (Impresso)","B5",2008
"0926-3373","CIÊNCIAS BIOLÓGICAS I                             ","Applied Catalysis. B, Environmental (Print)","A1",2008
"0003-6862","CIÊNCIAS BIOLÓGICAS I                             ","Applied Entomology and Zoology","B1",2008
"1541-2016","CIÊNCIAS BIOLÓGICAS I                             ","Applied Immunohistochemistry & Molecular Morphology (Print)","B5",2008
"0175-7598","CIÊNCIAS BIOLÓGICAS I                             ","Applied Microbiology and Biotechnology","B1",2008
"0268-2605","CIÊNCIAS BIOLÓGICAS I                             ","Applied Organometallic Chemistry","B2",2008
"0003-6951","CIÊNCIAS BIOLÓGICAS I                             ","Applied Physics Letters","A2",2008
"0969-8043","CIÊNCIAS BIOLÓGICAS I                             ","Applied Radiation and Isotopes","B2",2008
"0929-1393","CIÊNCIAS BIOLÓGICAS I                             ","Applied Soil Ecology (Print)","A1",2008
"0169-4332","CIÊNCIAS BIOLÓGICAS I                             ","Applied Surface Science","B2",2008
"0945-9871","CIÊNCIAS BIOLÓGICAS I                             ","Aqua (Neu-Isenburg)","B5",2008
"0144-8609","CIÊNCIAS BIOLÓGICAS I                             ","Aquacultural Engineering","A2",2008
"0044-8486","CIÊNCIAS BIOLÓGICAS I                             ","Aquaculture (Amsterdam)","A2",2008
"1793-0561","CIÊNCIAS BIOLÓGICAS I                             ","Aquaculture Asia Pacific","B5",2008
"1365-7305","CIÊNCIAS BIOLÓGICAS I                             ","Aquaculture Economics & Management (Print)","B5",2008
"0967-6120","CIÊNCIAS BIOLÓGICAS I                             ","Aquaculture International","B1",2008
